,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
0,2,1.7751479289940826,1.7751479289940826,1.7751479289940826,0,0.0,0.0,0.0,0.49,0,0.04733727810650898,0.04733727810650898,0.0,0.007809093740267833,0.007809093740267833,0.0,0.0,0.0,0.0,0.0
1,2,3.5086602790550145,3.5080948602108757,3.5433174047121927,0,1.9508887476723717,1.9828136038624313,0.0,0.66,0,0.09356284158869413,0.09354767493885136,0.0,0.01543479184391755,0.015432289889419129,0.0,3.946341070818869e-06,3.947212377184798e-06,0.0,0.0
2,4,5.202532248090881,5.199275826766903,5.303668743988962,12,5.717017210813679,5.901535813804994,0.0,0.58,0,0.1387201981555752,0.13863169177334836,0.0,0.02288427643674711,0.022869676618337095,0.0,1.941722035942039e-05,1.936275910914383e-05,0.0,0.0
3,5,6.858422403609179,6.849021532198944,7.055236255271456,15,11.182245172197925,11.718079291944232,0.0,0.5825,0,0.182892615010927,0.18264232503681166,0.0,0.03017126460579199,0.030129974795951964,0.0,5.95385954602612e-05,5.916206589970589e-05,0.0,0.0
4,6,8.47786594895456,8.457782274271622,8.796906680071924,27,18.22640994901275,19.377448840716372,0.0,0.5859999999999999,0,0.2260805378446944,0.2255466361329613,0.0,0.03729584985536359,0.03720777281495118,0.0,0.0001407431636838006,0.00013940285398201515,0.0,0.0
5,7,10.062098469570431,10.025890830764093,10.527393814349317,15,26.74632014182904,28.834316292717563,0.0,0.5950000000000001,0,0.2683321566321288,0.2673715758141742,0.0,0.04426597442593655,0.04410750774352551,0.0,0.00028220235086968525,0.0002781262780422737,0.0,0.0
6,8,11.612169473262853,11.553677081280034,12.245208732259293,47,36.6429818548427,40.039658541794715,0.0,0.5685714285714285,0,0.30967646513744307,0.30812864968790565,0.0,0.05108642083804348,0.050831076291843524,0.0,0.0005047890703393194,0.0004946109831683535,0.0,36.0
7,9,13.12907567774596,13.041755396204946,13.94862502636597,76,47.805006380374465,52.90641531315056,0.0,0.51625,0,0.35010678378833365,0.3477759453645948,0.0,0.05775610359252518,0.05737159305860056,0.0,0.0008297557760522724,0.0008076373397758338,0.0,0.0
8,9,14.613308137875398,14.490067538538689,15.635638526814583,77,60.16390289494016,67.42111298913697,0.0,0.5577777777777777,0,0.38968484855727187,0.3863935271187572,0.0,0.0642851830934708,0.06374222574372387,0.0,0.0012787290798879213,0.0012357401087961,0.0,0.0
9,13,16.065430914401748,15.899050588088402,17.30392110630199,101,73.62265144919357,83.50669271775686,0.0,0.5589999999999999,0,0.4284059991601508,0.423959692160005,0.0,0.07067290026863535,0.0699394105603704,0.0,0.0018714155919464578,0.0017947449767768758,0.0,0.0
10,11,17.48575166418548,17.268974528726947,18.950768475448495,124,88.09498426981516,101.09928208237626,0.0,0.5381818181818182,0,0.4662783362864607,0.46048060171833155,0.0,0.0769205915163807,0.07596416442115635,0.0,0.0026236943925083754,0.0024977631626407933,0.0,0.0
11,13,18.874391205913014,18.599729332839928,20.57304240547395,124,103.4956508982021,120.17442878857868,0.0,0.5391666666666667,0,0.5033050172767018,0.49599749674577165,0.0,0.08302877772585117,0.08182326892967082,0.0,0.0035549831473168808,0.003355325093111693,0.0,0.0
12,14,20.231278210830222,19.892000843367775,22.16710869085377,101,119.73950871187968,140.6030042812262,0.0,0.5961538461538461,0,0.5394841306514127,0.5304612048536821,0.0,0.08899714357044065,0.08750864554624216,0.0,0.004669755545148874,0.004371492362334539,0.0,0.0
13,14,21.55614145036711,21.14574154595575,23.728773520612506,152,136.74061613263783,162.33636388435235,0.0,0.5685714285714286,0,0.574808504192404,0.5638988726469061,0.0,0.09482450584020288,0.09302475854779323,0.0,0.00597418120041712,0.005547556965614286,0.0,0.0
14,14,22.84849984706528,22.361063749321737,25.25322291737319,263,154.41131751357318,185.2970508924109,0.0,0.5173333333333333,1,0.6092654516190878,0.596313862823437,0.0,0.10050877164586416,0.0983721624873984,0.0,0.007466553428699012,0.0068793921266504165,0.0,36.0
15,14,24.1073938555764,23.53803563478929,26.734972669533594,401,172.69808124461034,209.40258088702055,0.0,0.46375,1,0.6428672603926879,0.627708329607126,0.0,0.10605194932584457,0.1035512125753141,0.0,0.00913977391485298,0.008351952810158925,0.0,648.0
16,13,25.3323424163149,24.677154567336245,28.16783978714045,515,191.4427759920128,234.50188217048085,0.0,0.40823529411764703,0,0.6755333176388013,0.6580511006793104,0.0,0.11144077385396475,0.10855678832972007,0.0,0.010975123086500059,0.009967392741551636,0.0,1440.0
17,19,26.52196158500032,25.777638385421277,29.544950824280964,382,210.57473034982033,260.5980516477686,0.0,0.4894444444444445,0,0.7072572340731396,0.687394658536092,0.0,0.11667417615130604,0.11339751144850767,0.0,0.012940432352973354,0.011691869924235172,0.0,504.00000000000006
18,11,27.6748082565609,26.839725067686732,30.858806923221508,860,229.98935056896772,287.54710810462694,0.0,0.33421052631578946,0,0.7380004627939967,0.7157136835625473,0.0,0.12174579727870416,0.11806922065262548,0.0,0.01502209201441552,0.013507353446142336,0.0,2520.0
19,19,28.789166481378913,27.86326765669196,32.10142903671418,529,249.5755179628551,315.2394822568657,0.0,0.436,0,0.7677171770782598,0.7430043432115423,0.0,0.12664807736788988,0.1225712836552761,0.0,0.01717392231536321,0.015387366018201459,0.0,792.0
20,15,29.863039559957958,28.848050152965342,33.264607551600676,754,269.2148561308895,343.55775652269085,0.0,0.3895238095238095,0,0.7963540686233124,0.7692610749983917,0.0,0.13137222233357027,0.12690278273201105,0.0,0.01936763640668814,0.017302750716079954,0.0,1152.0
21,16,30.894148894021054,29.793782320541407,34.34027571943926,834,288.7812194457517,372.3760954679322,0.0,0.37045454545454537,0,0.8238503278253888,0.7944764567739429,0.0,0.13590820061462328,0.1310624933157215,0.0,0.021525612371880422,0.019222177903677903,0.0,2016.0000000000002
