,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
0,2,1.9867549668874178,1.9867549668874178,1.9867549668874178,0,0.0,0.0,0.0,0.52,0,0.057947019867549625,0.057947019867549625,0.0,0.010939887926642893,0.010939887926642893,0.0,0.0,0.0,0.0,0.0
1,3,3.916576321743013,3.9156446498258917,3.9637314200089704,0,2.3709015636917345,2.417928517084228,0.0,0.58,0,0.11422826375748862,0.11420072855967425,0.0,0.021565295429574218,0.021560097264602406,0.0,5.166639603462596e-06,5.163911048152491e-06,0.0,0.0
2,3,5.792831373525092,5.787506427599,5.92963056268801,15,6.91685156460372,7.187255231024582,0.0,0.5666666666666667,0,0.16895839313591812,0.16880326887208913,0.0,0.03189785874055588,0.031868572520202906,0.0,2.515574351964662e-05,2.5061180672533167e-05,0.0,0.0
3,6,7.6184033293833195,7.603185148400793,7.882940936019497,8,13.45944215106005,14.237124690268818,0.0,0.5775,0,0.22220704723534151,0.22176447251660444,0.0,0.04195073466478536,0.041867179598834826,0.0,7.621125809894592e-05,7.559866056154083e-05,0.0,0.0
4,8,9.395710104481774,9.363478433679852,9.82189953553167,9,21.838553071407198,23.497523870855076,0.0,0.6080000000000001,0,0.27405180794901896,0.273116778275695,0.0,0.05173856532714335,0.05156203660811906,0.0,0.00017784549288259895,0.00017541203022949375,0.0,0.0
5,8,11.126855513651945,11.069315325274177,11.744445913587048,48,31.89825055923147,34.880359879003,0.0,0.5166666666666666,0,0.3245320929665139,0.3228526627778442,0.0,0.06126880690918248,0.060951746028306816,0.0,0.0003513661864171783,0.00034411981431957026,0.0,0.0
6,9,12.813432273338078,12.72133730211483,13.64816839051819,55,43.50925359091944,48.32233942112254,0.0,0.5399999999999999,0,0.3737224980020788,0.3710331086938735,0.0,0.07055552387114213,0.07004779297931663,0.0,0.0006183566637644817,0.000600789705324161,0.0,0.0
7,10,14.456813323991298,14.320367735781842,15.530241674427081,86,56.538250439086575,63.735855373731546,0.0,0.5025,0,0.42165209569249334,0.4176646592750639,0.0,0.07960421210519195,0.07885142428930461,0.0,0.0009987615620020115,0.0009619212316574545,0.0,0.0
8,9,16.058025298410914,15.866982740054613,17.38735559895735,184,70.8614246693591,81.05347432970271,0.0,0.4544444444444445,0,0.46835058605186064,0.4627895475608137,0.0,0.08842047887340745,0.08737059641798056,0.0,0.0015102245814642321,0.0014406754222984187,0.0,72.0
9,12,17.61778999077815,17.362084897738885,19.215635465736504,129,86.3594275501335,100.16612940566216,0.0,0.49499999999999994,0,0.513838835078295,0.5063992834509838,0.0,0.09700826361565135,0.09560372946430644,0.0,0.0021722277567015487,0.0020521124889784385,0.0,0.0
10,13,19.136529227412666,18.806258820174136,21.010555810838397,205,102.91576327032091,120.99119763394498,0.0,0.45454545454545436,0,0.5581290548734295,0.5485254342160935,0.0,0.1053698719294625,0.10355677348038272,0.0,0.002991114632220428,0.002797972188924023,0.0,648.0
11,14,20.614184621011084,20.20012899754206,22.766851543504792,208,120.43728039261397,143.433611130978,0.0,0.46,1,0.6012496747173883,0.5891870096779002,0.0,0.11351065114558742,0.11123331682891603,0.0,0.0039706405523590935,0.003677705252297468,0.0,72.0
12,19,22.05086100644934,21.54456561921057,24.47843360779609,175,138.7741220685346,167.3609422888866,0.0,0.47615384615384604,0,0.6431537750587983,0.6283789624972569,0.0,0.12142177621722976,0.11863242667897422,0.0,0.005106079733484058,0.004684617792803891,0.0,36.0
13,10,23.445942301008976,22.839723702601205,26.13832084966559,388,157.82384414419792,192.71111458093114,0.0,0.4292857142857142,3,0.6838448327551625,0.6661515657202477,0.0,0.12910388940434214,0.1257635639737385,0.0,0.006386563336711979,0.005808202853714199,0.0,1332.0
